mass,mass_balance,mass_balance_trend
4.0246,0.0012,0.0030
4.0261,0.0015,0.0029
4.0274,0.0013,0.0029
4.0290,0.0016,0.0029
4.0300,0.0010,0.0028
4.0316,0.0016,0.0028
4.0333,0.0016,0.0028
4.0353,0.0020,0.0027
4.0359,0.0007,0.0027
4.0376,0.0017,0.0027
4.0387,0.0010,0.0026
4.0403,0.0016,0.0026
4.0408,0.0005,0.0025
4.0420,0.0011,0.0025
4.0431,0.0011,0.0025
4.0443,0.0012,0.0024
4.0447,0.0004,0.0024
4.0457,0.0010,0.0024
4.0466,0.0009,0.0023
4.0486,0.0020,0.0023
4.0491,0.0005,0.0023
4.0501,0.0010,0.0022
4.0511,0.0010,0.0022
4.0522,0.0011,0.0022
4.0526,0.0005,0.0022
4.0536,0.0009,0.0021
4.0540,0.0005,0.0021
4.0556,0.0016,0.0021
4.0559,0.0002,0.0020
4.0569,0.0010,0.0020
4.0576,0.0007,0.0020
4.0592,0.0015,0.0019
4.0600,0.0008,0.0019
4.0607,0.0008,0.0019
4.0620,0.0012,0.0019
4.0637,0.0017,0.0018
4.0639,0.0003,0.0018
4.0652,0.0013,0.0018
4.0653,0.0001,0.0018
4.0668,0.0015,0.0017
4.0672,0.0005,0.0017
4.0680,0.0008,0.0017
4.0685,0.0005,0.0017
4.0700,0.0016,0.0017
4.0705,0.0005,0.0016
4.0714,0.0009,0.0016
4.0716,0.0002,0.0016
4.0730,0.0014,0.0016
4.0732,0.0002,0.0016
4.0741,0.0009,0.0015
4.0744,0.0003,0.0015
4.0758,0.0014,0.0015
4.0765,0.0007,0.0015
4.0775,0.0009,0.0015
4.0777,0.0003,0.0015
4.0791,0.0014,0.0014
4.0796,0.0004,0.0014
4.0806,0.0010,0.0014
4.0807,0.0001,0.0014
4.0819,0.0012,0.0014
4.0821,0.0002,0.0013
4.0829,0.0008,0.0013
4.0827,-0.0002,0.0013
4.0831,0.0004,0.0013
4.0836,0.0005,0.0013
4.0846,0.0009,0.0012
4.0848,0.0002,0.0012
4.0859,0.0011,0.0012
4.0864,0.0005,0.0012
4.0873,0.0009,0.0012
4.0874,0.0002,0.0012
4.0879,0.0005,0.0011
4.0883,0.0004,0.0011
4.0889,0.0006,0.0011
4.0890,0.0000,0.0011
4.0895,0.0005,0.0011
4.0900,0.0005,0.0011
4.0905,0.0006,0.0010
4.0905,-0.0001,0.0010
4.0912,0.0008,0.0010
4.0915,0.0003,0.0010
4.0922,0.0007,0.0010
4.0923,0.0001,0.0010
4.0925,0.0002,0.0010
4.0929,0.0003,0.0009
4.0932,0.0003,0.0009
4.0928,-0.0004,0.0009
4.0932,0.0004,0.0009
4.0936,0.0004,0.0009
4.0942,0.0006,0.0009
4.0944,0.0002,0.0009
4.0947,0.0004,0.0008
4.0951,0.0003,0.0008
4.0955,0.0004,0.0008
4.0954,-0.0000,0.0008
4.0960,0.0006,0.0008
4.0963,0.0003,0.0008
4.0968,0.0004,0.0008
4.0969,0.0002,0.0008
4.0970,0.0001,0.0007
4.0973,0.0002,0.0007
4.0979,0.0007,0.0007
4.0981,0.0001,0.0007
4.0985,0.0005,0.0007
4.0988,0.0002,0.0007
4.0990,0.0003,0.0007
4.0987,-0.0004,0.0007
4.0992,0.0006,0.0006
4.0992,-0.0000,0.0006
4.0995,0.0002,0.0006
4.0992,-0.0003,0.0006
4.0994,0.0002,0.0006
4.0998,0.0004,0.0006
4.1005,0.0006,0.0006
4.1006,0.0001,0.0006
4.1009,0.0003,0.0006
4.1014,0.0005,0.0006
4.1017,0.0003,0.0006
4.1016,-0.0001,0.0005
4.1017,0.0001,0.0005
4.1016,-0.0001,0.0005
4.1020,0.0004,0.0005
4.1021,0.0000,0.0005
4.1020,-0.0001,0.0005
4.1024,0.0004,0.0005
4.1029,0.0005,0.0005
4.1027,-0.0002,0.0005
4.1030,0.0003,0.0005
4.1031,0.0001,0.0005
4.1036,0.0005,0.0005
4.1034,-0.0002,0.0005
4.1037,0.0003,0.0004
4.1037,0.0000,0.0004
4.1039,0.0002,0.0004
4.1035,-0.0004,0.0004
4.1036,0.0001,0.0004
4.1034,-0.0001,0.0004
4.1041,0.0006,0.0004
4.1038,-0.0003,0.0004
4.1042,0.0004,0.0004
4.1043,0.0002,0.0004
4.1048,0.0005,0.0004
4.1046,-0.0003,0.0004
4.1045,-0.0001,0.0003
4.1043,-0.0001,0.0003
4.1046,0.0003,0.0003
4.1045,-0.0001,0.0003
4.1045,0.0000,0.0003
4.1042,-0.0003,0.0003
4.1048,0.0006,0.0003
4.1049,0.0000,0.0003
4.1051,0.0002,0.0003
4.1049,-0.0001,0.0003
4.1051,0.0002,0.0003
4.1051,0.0000,0.0003
4.1052,0.0001,0.0003
4.1053,0.0002,0.0003
4.1056,0.0002,0.0002
4.1056,0.0000,0.0002
4.1056,0.0000,0.0002
4.1054,-0.0003,0.0002
4.1058,0.0005,0.0002
4.1059,0.0001,0.0002
4.1059,-0.0000,0.0002
4.1058,-0.0000,0.0002
4.1061,0.0002,0.0002
4.1060,-0.0001,0.0002
4.1060,0.0000,0.0002
4.1054,-0.0006,0.0002
4.1057,0.0003,0.0002
4.1057,0.0000,0.0002
4.1054,-0.0003,0.0002
4.1051,-0.0003,0.0002
4.1057,0.0005,0.0002
4.1057,0.0000,0.0002
4.1059,0.0002,0.0002
4.1057,-0.0002,0.0002
4.1061,0.0004,0.0002
4.1059,-0.0002,0.0002
4.1062,0.0002,0.0001
4.1059,-0.0003,0.0001
4.1060,0.0001,0.0001
4.1057,-0.0003,0.0001
4.1056,-0.0001,0.0001
4.1056,-0.0000,0.0001
4.1062,0.0006,0.0001
4.1064,0.0001,0.0001
4.1068,0.0004,0.0001
4.1065,-0.0003,0.0001
4.1067,0.0003,0.0001
4.1069,0.0001,0.0001
4.1069,0.0000,0.0001
4.1064,-0.0005,0.0001
4.1068,0.0004,0.0001
4.1068,-0.0000,0.0001
4.1069,0.0001,0.0001
4.1066,-0.0003,0.0001
4.1072,0.0006,0.0001
4.1074,0.0001,0.0001
4.1076,0.0003,0.0001
4.1074,-0.0002,0.0001
4.1076,0.0002,0.0001
