mass,mass_balance,mass_balance_trend
4.3359,0.0017,0.0032
4.3378,0.0019,0.0032
4.3399,0.0022,0.0032
4.3411,0.0012,0.0031
4.3428,0.0017,0.0031
4.3441,0.0012,0.0030
4.3455,0.0014,0.0030
4.3463,0.0008,0.0029
4.3473,0.0010,0.0029
4.3486,0.0013,0.0028
4.3503,0.0017,0.0028
4.3517,0.0014,0.0028
4.3527,0.0010,0.0027
4.3538,0.0011,0.0027
4.3556,0.0019,0.0026
4.3563,0.0006,0.0026
4.3575,0.0012,0.0026
4.3581,0.0006,0.0025
4.3589,0.0008,0.0025
4.3594,0.0005,0.0024
4.3595,0.0001,0.0024
4.3601,0.0005,0.0023
4.3613,0.0012,0.0023
4.3620,0.0007,0.0023
4.3631,0.0011,0.0022
4.3638,0.0007,0.0022
4.3656,0.0018,0.0022
4.3666,0.0010,0.0021
4.3675,0.0009,0.0021
4.3687,0.0012,0.0021
4.3701,0.0013,0.0020
4.3708,0.0007,0.0020
4.3716,0.0008,0.0020
4.3725,0.0009,0.0020
4.3743,0.0018,0.0019
4.3756,0.0013,0.0019
4.3764,0.0008,0.0019
4.3772,0.0008,0.0019
4.3790,0.0018,0.0018
4.3802,0.0012,0.0018
4.3810,0.0008,0.0018
4.3817,0.0007,0.0018
4.3822,0.0005,0.0018
4.3827,0.0005,0.0017
4.3827,0.0001,0.0017
4.3833,0.0005,0.0017
4.3846,0.0014,0.0017
4.3858,0.0012,0.0017
4.3860,0.0002,0.0016
4.3864,0.0004,0.0016
4.3872,0.0008,0.0016
4.3872,-0.0000,0.0016
4.3874,0.0001,0.0015
4.3873,-0.0000,0.0015
4.3878,0.0005,0.0015
4.3882,0.0004,0.0015
4.3879,-0.0003,0.0014
4.3885,0.0005,0.0014
4.3893,0.0008,0.0014
4.3902,0.0009,0.0014
4.3902,0.0000,0.0014
4.3896,-0.0005,0.0013
4.3908,0.0012,0.0013
4.3907,-0.0001,0.0013
4.3911,0.0004,0.0013
4.3914,0.0003,0.0013
4.3917,0.0003,0.0012
4.3917,0.0001,0.0012
4.3917,-0.0000,0.0012
4.3919,0.0002,0.0012
4.3932,0.0014,0.0011
4.3935,0.0003,0.0011
4.3941,0.0005,0.0011
4.3938,-0.0003,0.0011
4.3945,0.0008,0.0011
4.3947,0.0002,0.0011
4.3946,-0.0001,0.0010
4.3947,0.0001,0.0010
4.3953,0.0006,0.0010
4.3961,0.0007,0.0010
4.3959,-0.0002,0.0010
4.3957,-0.0002,0.0010
4.3963,0.0006,0.0009
4.3969,0.0006,0.0009
4.3974,0.0005,0.0009
4.3968,-0.0007,0.0009
4.3974,0.0006,0.0009
4.3973,-0.0000,0.0008
4.3967,-0.0007,0.0008
4.3957,-0.0010,0.0008
4.3961,0.0005,0.0008
4.3964,0.0003,0.0008
4.3967,0.0003,0.0007
4.3965,-0.0002,0.0007
4.3972,0.0007,0.0007
4.3976,0.0004,0.0007
4.3973,-0.0003,0.0007
4.3965,-0.0007,0.0007
4.3970,0.0005,0.0006
4.3966,-0.0004,0.0006
4.3968,0.0002,0.0006
4.3967,-0.0000,0.0006
4.3974,0.0007,0.0006
4.3983,0.0008,0.0006
4.3993,0.0010,0.0006
4.3990,-0.0003,0.0005
4.4004,0.0014,0.0005
4.4011,0.0007,0.0005
4.4010,-0.0001,0.0005
4.4004,-0.0006,0.0005
4.4010,0.0006,0.0005
4.4009,-0.0001,0.0005
4.4011,0.0002,0.0005
4.4002,-0.0008,0.0005
4.4006,0.0004,0.0004
4.4009,0.0002,0.0004
4.4013,0.0004,0.0004
4.4003,-0.0010,0.0004
4.4009,0.0006,0.0004
4.4006,-0.0003,0.0004
4.4011,0.0005,0.0004
4.4001,-0.0010,0.0004
4.4011,0.0011,0.0004
4.4013,0.0002,0.0004
4.4019,0.0006,0.0004
4.4016,-0.0003,0.0004
4.4019,0.0004,0.0004
4.4022,0.0003,0.0004
4.4030,0.0008,0.0004
4.4022,-0.0007,0.0003
4.4028,0.0006,0.0003
4.4029,0.0001,0.0003
4.4031,0.0002,0.0003
4.4023,-0.0008,0.0003
4.4027,0.0003,0.0003
4.4026,-0.0001,0.0003
4.4031,0.0006,0.0003
4.4025,-0.0006,0.0003
4.4033,0.0008,0.0002
4.4040,0.0006,0.0002
4.4043,0.0004,0.0002
4.4035,-0.0008,0.0002
4.4039,0.0004,0.0002
4.4044,0.0004,0.0002
4.4049,0.0005,0.0002
4.4040,-0.0009,0.0002
4.4043,0.0002,0.0002
4.4048,0.0006,0.0002
4.4049,0.0001,0.0002
4.4044,-0.0005,0.0002
4.4045,0.0001,0.0002
4.4045,-0.0000,0.0002
4.4048,0.0003,0.0002
4.4041,-0.0006,0.0002
4.4042,0.0000,0.0002
4.4046,0.0004,0.0002
4.4048,0.0003,0.0002
4.4044,-0.0004,0.0002
4.4052,0.0009,0.0002
4.4053,0.0001,0.0002
4.4064,0.0011,0.0002
4.4051,-0.0014,0.0002
4.4052,0.0002,0.0001
4.4053,0.0001,0.0001
4.4057,0.0005,0.0001
4.4051,-0.0007,0.0001
4.4053,0.0003,0.0001
4.4058,0.0004,0.0001
4.4056,-0.0001,0.0001
4.4048,-0.0009,0.0001
4.4049,0.0001,0.0001
4.4045,-0.0004,0.0001
4.4049,0.0004,0.0001
4.4039,-0.0010,0.0001
4.4038,-0.0001,0.0001
4.4032,-0.0006,0.0001
4.4037,0.0005,0.0001
4.4024,-0.0012,0.0001
4.4015,-0.0009,0.0001
4.4002,-0.0013,0.0000
4.3988,-0.0014,0.0000
4.3958,-0.0030,0.0000
4.3946,-0.0012,-0.0000
4.3922,-0.0023,-0.0000
4.3905,-0.0017,-0.0001
4.3872,-0.0033,-0.0001
4.3842,-0.0030,-0.0001
4.3802,-0.0039,-0.0002
4.3774,-0.0028,-0.0002
4.3729,-0.0045,-0.0002
4.3697,-0.0032,-0.0003
4.3652,-0.0044,-0.0003
4.3618,-0.0034,-0.0003
4.3576,-0.0043,-0.0004
4.3536,-0.0040,-0.0004
4.3490,-0.0045,-0.0005
4.3450,-0.0041,-0.0005
4.3394,-0.0056,-0.0006
4.3347,-0.0047,-0.0006
4.3294,-0.0053,-0.0007
4.3245,-0.0049,-0.0007
4.3189,-0.0055,-0.0008
4.3134,-0.0056,-0.0008
4.3075,-0.0059,-0.0009
4.3026,-0.0049,-0.0010
4.2974,-0.0052,-0.0010
4.2915,-0.0059,-0.0011
4.2850,-0.0065,-0.0012
4.2795,-0.0055,-0.0012
4.2728,-0.0068,-0.0013
4.2666,-0.0061,-0.0013
4.2603,-0.0064,-0.0014
4.2540,-0.0062,-0.0015
4.2472,-0.0069,-0.0015
4.2407,-0.0065,-0.0016
4.2343,-0.0064,-0.0017
4.2274,-0.0069,-0.0017
4.2200,-0.0073,-0.0018
4.2129,-0.0071,-0.0019
4.2057,-0.0072,-0.0019
4.1992,-0.0065,-0.0020
4.1921,-0.0071,-0.0021
4.1854,-0.0067,-0.0022
4.1781,-0.0072,-0.0022
4.1713,-0.0069,-0.0023
4.1642,-0.0070,-0.0024
4.1577,-0.0066,-0.0024
4.1506,-0.0071,-0.0025
4.1437,-0.0069,-0.0026
4.1369,-0.0068,-0.0027
4.1296,-0.0073,-0.0027
4.1222,-0.0074,-0.0028
4.1145,-0.0077,-0.0029
4.1066,-0.0080,-0.0030
4.0982,-0.0084,-0.0030
4.0903,-0.0079,-0.0031
4.0824,-0.0079,-0.0032
4.0742,-0.0082,-0.0033
4.0669,-0.0073,-0.0034
4.0594,-0.0076,-0.0034
4.0512,-0.0082,-0.0035
4.0439,-0.0073,-0.0036
4.0358,-0.0081,-0.0037
4.0286,-0.0072,-0.0038
4.0210,-0.0076,-0.0038
4.0128,-0.0082,-0.0039
4.0044,-0.0084,-0.0040
3.9966,-0.0078,-0.0041
3.9887,-0.0079,-0.0042
3.9803,-0.0084,-0.0042
3.9720,-0.0083,-0.0043
3.9640,-0.0080,-0.0044
3.9562,-0.0078,-0.0045
3.9481,-0.0081,-0.0046
3.9391,-0.0090,-0.0047
3.9306,-0.0085,-0.0047
3.9212,-0.0093,-0.0048
3.9127,-0.0085,-0.0049
3.9035,-0.0092,-0.0050
3.8945,-0.0090,-0.0051
3.8854,-0.0091,-0.0052
3.8763,-0.0092,-0.0053
3.8678,-0.0085,-0.0054
3.8588,-0.0090,-0.0055
3.8503,-0.0085,-0.0056
3.8416,-0.0087,-0.0056
3.8331,-0.0085,-0.0057
3.8244,-0.0087,-0.0058
3.8159,-0.0085,-0.0059
3.8070,-0.0088,-0.0060
3.7982,-0.0088,-0.0061
3.7902,-0.0080,-0.0061
3.7815,-0.0086,-0.0062
3.7729,-0.0087,-0.0063
3.7646,-0.0083,-0.0064
3.7564,-0.0082,-0.0065
3.7478,-0.0086,-0.0066
3.7390,-0.0088,-0.0066
3.7307,-0.0083,-0.0067
3.7228,-0.0080,-0.0068
3.7149,-0.0079,-0.0068
3.7070,-0.0079,-0.0069
3.6990,-0.0080,-0.0070
3.6922,-0.0068,-0.0070
3.6846,-0.0076,-0.0071
3.6771,-0.0074,-0.0071
3.6697,-0.0074,-0.0071
3.6627,-0.0070,-0.0072
3.6553,-0.0074,-0.0072
3.6474,-0.0079,-0.0073
3.6402,-0.0072,-0.0073
3.6333,-0.0069,-0.0073
3.6261,-0.0072,-0.0074
3.6192,-0.0069,-0.0074
3.6122,-0.0070,-0.0074
3.6051,-0.0071,-0.0074
3.5989,-0.0061,-0.0075
3.5924,-0.0065,-0.0075
3.5863,-0.0061,-0.0075
3.5799,-0.0064,-0.0075
3.5743,-0.0056,-0.0075
3.5685,-0.0058,-0.0075
3.5626,-0.0059,-0.0075
3.5563,-0.0063,-0.0075
3.5508,-0.0055,-0.0075
3.5447,-0.0061,-0.0075
3.5397,-0.0050,-0.0075
3.5341,-0.0056,-0.0075
3.5292,-0.0049,-0.0075
3.5235,-0.0057,-0.0075
3.5188,-0.0047,-0.0075
3.5137,-0.0051,-0.0075
3.5086,-0.0051,-0.0075
3.5036,-0.0050,-0.0074
3.4996,-0.0040,-0.0074
3.4953,-0.0043,-0.0074
3.4921,-0.0032,-0.0074
3.4876,-0.0044,-0.0073
3.4839,-0.0037,-0.0073
3.4791,-0.0048,-0.0073
3.4755,-0.0037,-0.0072
3.4710,-0.0045,-0.0072
3.4671,-0.0039,-0.0072
3.4629,-0.0041,-0.0072
3.4595,-0.0035,-0.0071
3.4555,-0.0040,-0.0071
3.4515,-0.0040,-0.0071
3.4474,-0.0041,-0.0070
3.4437,-0.0037,-0.0070
3.4398,-0.0038,-0.0070
3.4360,-0.0038,-0.0069
3.4328,-0.0032,-0.0069
3.4298,-0.0030,-0.0068
3.4263,-0.0035,-0.0068
3.4220,-0.0044,-0.0068
3.4179,-0.0041,-0.0067
3.4149,-0.0030,-0.0067
3.4105,-0.0044,-0.0066
3.4068,-0.0038,-0.0066
3.4031,-0.0036,-0.0066
3.4000,-0.0032,-0.0065
3.3964,-0.0036,-0.0065
3.3925,-0.0039,-0.0064
3.3894,-0.0031,-0.0064
3.3863,-0.0031,-0.0063
3.3834,-0.0029,-0.0063
3.3800,-0.0034,-0.0062
3.3773,-0.0027,-0.0062
3.3746,-0.0026,-0.0061
3.3724,-0.0023,-0.0061
3.3690,-0.0034,-0.0060
3.3667,-0.0024,-0.0060
3.3646,-0.0020,-0.0059
3.3625,-0.0022,-0.0059
3.3600,-0.0025,-0.0058
3.3578,-0.0022,-0.0057
3.3562,-0.0015,-0.0056
3.3541,-0.0022,-0.0056
3.3514,-0.0027,-0.0055
3.3493,-0.0021,-0.0055
3.3478,-0.0014,-0.0054
3.3466,-0.0012,-0.0053
3.3444,-0.0022,-0.0052
3.3426,-0.0018,-0.0052
3.3410,-0.0016,-0.0051
3.3387,-0.0023,-0.0050
3.3359,-0.0028,-0.0050
3.3337,-0.0023,-0.0049
3.3321,-0.0016,-0.0048
3.3306,-0.0015,-0.0048
3.3286,-0.0020,-0.0047
3.3271,-0.0015,-0.0046
3.3261,-0.0010,-0.0046
3.3244,-0.0017,-0.0045
3.3221,-0.0023,-0.0044
3.3199,-0.0021,-0.0044
3.3186,-0.0013,-0.0043
3.3175,-0.0012,-0.0042
3.3163,-0.0012,-0.0041
3.3151,-0.0012,-0.0041
3.3145,-0.0006,-0.0040
3.3132,-0.0013,-0.0039
3.3113,-0.0019,-0.0039
3.3098,-0.0016,-0.0038
3.3088,-0.0009,-0.0038
3.3078,-0.0011,-0.0037
3.3071,-0.0007,-0.0036
